id_deputado,nome_deputado,aniversario,sigla_partido,situacao,email,sala,placa_veiculo,home_page,andar,matricula,id_spl
540,CARLA MORANDO,10-08,PSDB,EXE,carlamorando@al.sp.gov.br,2073,,,2º,300614,1000000369
142,CARLOS CEZAR,07-13,PSB,EXE,carloscezar@al.sp.gov.br,3017/3018/3019/3020,AL 090 - CUI 7378,,3º,300501,12396
148,CARLOS GIANNAZI,12-15,PSOL,EXE,deputado@carlosgiannazi.com.br,1044/1045,AL 082 - FSP 5001,www.carlosgiannazi.com.br,1º,300485,10592
11,CARLAO PIGNATARI,04-09,PSDB,EXE,carlaopignatari@al.sp.gov.br,4014,,,4º,300499,12392
539,CASTELLO BRANCO,11-10,PSL,EXE,castellobranco@al.sp.gov.br,2022,AL 069 - FQP 0214,,2º,300615,1000000376
538,CEZAR,11-10,PSDB,EXE,cezar@al.sp.gov.br,3111,AL 068 - EPN 4540,,3º andar,300616,1000000378
180,CONTE LOPES,05-14,PP,EXE,clopes@al.sp.gov.br,1117,AL 164 - EJV 3812,, 1º Andar,300205,82
537,CORONEL NISHIKAWA,01-07,PSL,EXE,celnishikawa@al.sp.gov.br,2106,AL 054 - FPS 1310,,2º,300617,1000000397
286,CORONEL TELHADA,10-10,PP,EXE,coroneltelhada@al.sp.gov.br,1105,AL 103,,1º,300548,13095
536,DANIEL JOSE,02-14,NOVO,EXE,danieljose@al.sp.gov.br,3101,,, 3º Andar,300618,1000000399
535,DANIEL SOARES,01-19,DEM,EXE,DanielSoares@al.sp.gov.br,2007,AL 038 - BTR 9980,,2º andar,300619,1000000400
534,DELEGADA GRACIELA,07-08,PL,EXE,delegadagraciela@al.sp.gov.br,T-106,AL 137 - FSP 4521,,Téreo,300620,1000000401
533,DELEGADO BRUNO LIMA,08-25,PSL,EXE,del.brunolima@al.sp.gov.br,1108,AL 099 - FSP 1318,,1º,300621,1000000406
263,DELEGADO OLIM,09-11,PP,EXE,contato@deputadodelegadoolim.com.br,1016 a 1019,,,1º,300543,13077
561,DIRCEU DALBEN,06-13,PL,EXE,dirceudalben@al.sp.gov.br,T.05,AL 032 - ESR 4631,https://www.al.sp.gov.br/deputado/?matricula=300650,Térreo,300650,1000000426
531,DR. JORGE DO CARMO,06-16,PT,EXE,drdepjorgedocarmo@al.sp.gov.br,T-109,AL 029 - EXX 7388,,Térreo,300623,1000000410
530,DRA. DAMARIS MOURA,04-21,PSDB,EXE,dradamarismoura@al.sp.gov.br,T 14,AL 036 - EAK 2361,,Térreo,300624,1000000413
70,EDMIR CHEDID,08-06,DEM,EXE,echedid@al.sp.gov.br,2112,AL 033 - FPS 1403,http://www.edmirchedid.com.br/,2º,300292,68
516,EDNA MACEDO,04-01,REPUBLICANOS,EXE,ednamacedo@al.sp.gov.br,T102,AL 118 - GFJ 7329,,,300318,70
110,EDSON GIRIBONI,04-06,PV,EXE,egiriboni@al.sp.gov.br,2103,,,2º,300449,10597
517,EMIDIO DE SOUZA,05-22,PT,EXE,emidio@al.sp.gov.br,T.36,AL 056 - EOK 1356,,Térreo,300395,291
175,ENIO TATTO,05-20,PT,EXE,eniotatto@al.sp.gov.br,1115,AL 073 - BRQ 1771,,1º,300440,431
529,ERICA MALUNGUINHO,11-20,PSOL,EXE,EricaMalunguinho@al.sp.gov.br,,AL 140 - FYT 5871,,,300625,1000000419
177,ESTEVAM GALVAO,08-15,DEM,EXE,egalvao@al.sp.gov.br,2117,AL 025 - FSP 2501,,2º andar,300303,78
528,FREDERICO D'AVILA,11-02,PSL,EXE,fredericodavila@al.sp.gov.br,2111,,,2º,300626,1000000420
49,GILMACI SANTOS,03-16,REPUBLICANOS,EXE,gilmacisantos@al.sp.gov.br,T.104,AL 085 - DNO 0062,,Térreo,300450,10603
526,HENI OZI CUKIER,01-29,NOVO,EXE,HeniOziCukier@al.sp.gov.br,1103,,,1º,300628,1000000337
525,ISA PENNA,03-28,PSOL,EXE,IsaPenna@al.sp.gov.br,T-06,AL 072 - FSP 1315,,Térreo,300629,1000000338
141,ITAMAR BORGES,12-21,MDB,EXE,itamarborges@al.sp.gov.br,3102,AL 051 - FVU 9715,,3º,300510,12380
524,JANAINA PASCHOAL,06-25,PSL,EXE,janainapaschoal@al.sp.gov.br,T-115,AL 064 - FSP 4512,,,300630,1000000339
84,JORGE CARUSO,01-16,MDB,EXE,jcaruso@al.sp.gov.br,T 42,AL 059 p GHD 1502,,Térreo,300367,197
274,JORGE WILSON XERIFE DO CONSUMIDOR,09-07,REPUBLICANOS,EXE,jorgewilsonxerifedoconsumidor@al.sp.gov.br,T26 a T29 ,AL 007 - DWO 3890,,Térreo,300549,13085
276,JOSE AMERICO,12-22,PT,EXE,joseamerico@al.sp.gov.br,2038,AL 074 - EVA 0740,,1º,300544,13086
38,LECI BRANDAO,09-12,PC do B,EXE,lecibrandao@al.sp.gov.br,3021,AL 078 - FSP 6501,,3º Andar,300513,12420
523,LETICIA AGUIAR,05-16,PSL,EXE,leticiaaguiar@al.sp.gov.br,1116,AL 063 - FSU 3558,,1º andar,300631,1000000340
279,LUIZ FERNANDO T. FERREIRA,09-10,PT,EXE,lfernando@al.sp.gov.br,1024 a 1027,AL 154 - ECS 3878,,1º,300545,13089
285,LEO OLIVEIRA,12-29,MDB,EXE,leooliveira@al.sp.gov.br,3103,AL 048 - FSP 5502,,3º,300264,40
521,MAJOR MECCA,05-22,PSL,EXE,majormecca@al.sp.gov.br,3110,AL 081 - ERA 0639,,3º,300633,1000000346
519,MARCIO NAKASHIMA,10-06,PDT,EXE,MarcioNakashima@al.sp.gov.br,2014 a 2017 ,AL 107 - FSP 1404,,2º,300635,1000000348
520,MARCIO DA FARMACIA,06-17,PODE,EXE,marciodafarmacia@al.sp.gov.br,T 112,AL-098 - EJE 0049,,Térreo,300634,1000000347
283,MARCOS DAMASIO,05-07,PL,EXE,marcosdamasio@al.sp.gov.br,1102,AL 047 - CCC 8576,,1º,300552,13093
78,MARCOS ZERBINI,01-18,PSDB,EXE,mzerbini@al.sp.gov.br,3105,AL 010 - DAK 2170,,3º,300471,10611
117,MARIA LUCIA AMARY,04-18,PSDB,EXE,mlamary@al.sp.gov.br,3025,AL 039 - BYW 9619,,3º,300415,436
518,MARINA HELOU,08-25,REDE,EXE,mandato@marinahelou.com.br,2104,AL 061 - FSP 2503,,2º,300636,1000000349
284,MARTA COSTA,10-30,PSD,EXE,depmartacosta@al.sp.gov.br,2034 a 2037,AL 080 - FSP 4508,,2º,300533,13094
1521,MAURICI,05-15,PT,EXE,depmaurici@al.sp.gov.br,1106,,,1º,300653,1000000610
87,MAURO BRAGATO,12-08,PSDB,EXE,Mbragato@al.sp.gov.br,2010,AL 132 - EUB 7299,,2º,300098,4926
163,MILTON LEITE FILHO,08-03,DEM,EXE,mleite@al.sp.gov.br,1020,AL 108 - FSP 2505,,1º,300483,10613
1541,MURILO FELIX,01-28,PODE,EXE,murilofelix@al.sp.gov.br,T.108,,,Térreo,300654,0
281,MARCIA LIA,02-09,PT,EXE,marcialia@al.sp.gov.br,3005 a 3008,AL 009 - BYW 1644,,3º,300534,13091
1561,PATRICIA BEZERRA,10-02,PSDB,EXE,patriciabezerra@al.sp.gov.br,T.52,,,Térreo,300655,1000000723
287,PAULO CORREA JR,04-24,DEM,EXE,paulocorreajr@al.sp.gov.br,2018,AL 002 - EJV 3312,,2º,300536,13096
514,PAULO FIORILO,01-25,PT,EXE,paulofiorilo@al.sp.gov.br,T 10 a T 13,AL 060 - DUH 2940,,Térreo,300638,1000000352
513,PROFESSOR KENNY,07-14,PP,EXE,ProfessorKenny@al.sp.gov.br,2110,AL 105 - OXC 5621,,2º,300639,1000000354
512,PROFESSORA BEBEL,05-01,PT,EXE,professorabebel@al.sp.gov.br,1107,AL 095 - GFJ 4067,,1º,300640,1000000355
511,RAFA ZIMBALDI,07-28,PL,EXE,rafazimbaldi@al.sp.gov.br,2030,AL 028 - EQN 7370,,2º,300641,1000000358
112,RAFAEL SILVA,09-05,PSB,EXE,rsilva@al.sp.gov.br,1112,AL 055 - EAD 9749,,1º,300344,180
126,REINALDO ALGUZ,01-06,PV,EXE,ralguz@al.sp.gov.br,T 110,AL 042 - EWE 9484,,Térreo,300470,10619
288,RICARDO MADALENA,03-05,PL,EXE,ricardomadalena@al.sp.gov.br,1012 - 1015,AL 034 - DYF 7949,,1º,300539,13097
510,RICARDO MELLAO,08-15,NOVO,EXE,RicardoMellao@al.sp.gov.br,3107,,,3º andar,300642,1000000360
74,ROBERTO ENGLER,08-09,PSB,EXE,rengler@al.sp.gov.br,1036 a 1039,AL 076 - FSP 4515,,1º,300267,64
91,ROBERTO MORAIS,07-29,CIDADANIA,EXE,rmorais@al.sp.gov.br,1104,AL 019 - EOF 9161,http://www.robertomorais.com.br,1º,300382,232
509,RODRIGO GAMBALE,03-17,PSL,EXE,rodrigogambale@al.sp.gov.br,1110,AL 058 - FSP 4303,,1º andar,300643,1000000362
90,RODRIGO MORAES,09-03,DEM,EXE,deputadorodrigomoraes@al.sp.gov.br,3104,AL 092 - GFS 2001,www.deputadorodrigomoraes.com.br,3º,300519,12414
71,ROGERIO NOGUEIRA,03-29,DEM,EXE,rnogueira@al.sp.gov.br,3013/3014,AL 071 - DSV 5949,http://www.rogerionogueira.com.br,3º,300407,454
28,ROQUE BARBIERE,08-16,AVANTE,EXE,rbarbiere@al.sp.gov.br,T116,AL 143 - EEX 0759,,Térreo,300260,58
508,SARGENTO NERI,10-28,AVANTE,EXE,sgtneri@al.sp.gov.br,3037,AL 044 - EXW 4137,,3º andar,300644,1000000365
95,SEBASTIAO SANTOS,10-01,REPUBLICANOS,EXE,sebastiaosantos@al.sp.gov.br,1040,AL 139 - EWH 1830,,1º,300520,12419
507,SERGIO VICTOR,06-18,NOVO,EXE,gabinete@sergiovictor.com.br/faleconosco.sergiovictor.com.br,3108,Não usará carro oficial,,3º,300645,1000000367
506,TENENTE COIMBRA,01-08,PSL,EXE,tenentecoimbra@al.sp.gov.br,2105,AL 119 - FLP 7176,,2º,300646,1000000370
505,TENENTE NASCIMENTO,02-01,PSL,EXE,TenenteNascimento@al.sp.gov.br,3114,AL 067 - BVT 6921,,3º andar,300647,1000000372
289,TEONILIO BARBA,07-08,PT,EXE,teoniliobarba@al.sp.gov.br,1008 a 1011,AL 093 - FSP 1302,,1º,300584,13109
504,THIAGO AURICCHIO,04-23,PL,EXE,ThiagoAuricchio@al.sp.gov.br,3109,AL 150 - ELY 6170,,3º andar,300648,1000000373
503,VALERIA BOLSONARO,09-16,SEM PARTIDO,EXE,ValeriaBolsonaro@al.sp.gov.br,18,,,Térreo,300649,1000000374
13,VINICIUS CAMARINHA,11-06,PSB,EXE,depviniciuscamarinha@al.sp.gov.br,T 101,AL 027 - FSP 4504,,Térreo,300430,448
290,WELLINGTON MOURA,01-22,REPUBLICANOS,EXE,wmoura@al.sp.gov.br,2071,AL 138 - EOD 1600,,2º andar,300589,13098
532,DOUGLAS GARCIA,,PTB,EXE,depdouglasgarcia@al.sp.gov.br,1109,AL 083 - FSP 4517,,1º,300622,1000000408
527,GIL DINIZ,,SEM PARTIDO,EXE,gildiniz@al.sp.gov.br,4001,AL 031 - FSP 1314,,4º Andar,300627,1000000334
515,MONICA DA MANDATA ATIVISTA,,PSOL,EXE, mandata.ativista@al.sp.gov.br,2107,,,2º andar,300637,1000000350
